,id,ra,dec,flux_g,flux_i,flux_r,flux_u,flux_y,flux_z,host_galaxy,is_pointsource,is_variable,mag_r,redshift,truth_type
283,41021134932,54.0852215,-46.0705288,39.6821,282.471,118.984,4.55244,504.064,417.05,-1,1,1,26.2113,0.0,2
284,65291478,54.1387338,-46.0768479,1816.0,3729.22,3087.89,543.41,4028.79,3974.22,-1,1,0,22.6758,0.0,2
285,41021141234,54.1063947,-46.1038731,17.0742,155.822,50.6494,1.81325,317.88,253.697,-1,1,1,27.1386,0.0,2
286,91882368,54.1200798,-46.0836088,27.5832,20.2075,24.1711,19.6167,14.6968,16.9167,-1,1,0,27.9418,0.0,2
287,91882518,54.0440963,-46.0808835,164.56,169.707,175.776,114.428,147.315,158.236,-1,1,0,25.7876,0.0,2
288,91881157,54.5753559,-46.0615009,13.9182,30.2406,24.2612,4.21586,33.9004,32.9296,-1,1,0,27.9377,0.0,2
289,65289492,54.4374537,-46.1108417,3442.51,2342.92,2888.25,2477.67,1659.44,1927.76,-1,1,0,22.7484,0.0,2
290,41021119106,54.6959057,-46.1135053,25.1346,201.583,74.9906,2.75364,383.237,311.854,-1,1,1,26.7125,0.0,2
291,40749424343,54.6439312,-46.058899,739.759,6750.42,2194.3,78.5676,13770.3,10990.2,-1,1,1,23.0468,0.0,2
292,hl_ms_24760,54.2115248,-46.0938899,0.0,0.0,0.0,0.0,0.0,0.0,24760,1,1,,0.831441,3
293,94657956,54.7069888,-46.1054634,119.148,101.042,113.477,85.4961,79.145,88.6236,-1,1,0,26.2627,0.0,2
294,40065559608,54.2689426,-46.0748547,50180.2,119486.0,94169.0,10555.6,140539.0,131658.0,-1,1,1,18.9652,0.0,2
295,40749427294,54.2328899,-46.0864156,119007.0,309503.0,238867.0,19737.3,367420.0,342350.0,-1,1,1,17.9546,0.0,2
296,41021108114,54.7294374,-46.0675582,25.1372,107.136,68.7975,3.20787,146.589,131.263,-1,1,1,26.8061,0.0,2
297,40745748795,53.992622,-46.1088124,2001.84,10889.9,6050.51,206.669,16262.3,14169.8,-1,1,1,21.9455,0.0,2
298,40249369167,54.0167478,-46.097282,22.0237,1033.81,97.329,4.60911,11301.1,3776.78,-1,1,1,26.4294,0.0,2
299,40062176445,53.9867598,-46.1096239,14.8218,105.649,44.4767,1.69856,188.65,156.047,-1,1,1,27.2797,0.0,2
300,41021144173,53.985493,-46.094181,127.068,717.815,389.522,14.9841,1102.74,950.967,-1,1,1,24.9237,0.0,2
301,40969808527,53.9975846,-46.0761772,10.0996,80.9018,30.1116,1.10753,153.718,125.113,-1,1,1,27.7032,0.0,2
302,40969814269,54.0053733,-46.1035986,8.62205,149.451,29.9419,1.08173,551.051,328.066,-1,1,1,27.7093,0.0,2
303,40969777493,54.6811154,-46.0653082,3359.53,4776.15,4374.5,1528.46,4845.47,4849.05,-1,1,1,22.2977,0.0,2
304,41021112440,54.6523592,-46.0733526,1817.32,3038.36,2642.53,708.245,3233.14,3173.71,-1,1,1,22.845,0.0,2
305,41021113184,54.6592849,-46.0785105,13337.8,22936.7,19589.8,5222.42,24973.8,24392.2,-1,1,1,20.6699,0.0,2
306,41021109456,54.6532734,-46.0594903,31.4976,158.851,95.0111,3.84866,232.695,203.388,-1,1,1,26.4556,0.0,2
307,40969811621,53.9819293,-46.0869642,6519.26,9188.73,8433.25,3366.43,9202.89,9284.84,-1,1,1,21.585,0.0,2
308,40901219311,54.6731864,-46.0935801,142306.0,242188.0,211053.0,48531.9,257970.0,252333.0,-1,1,1,18.089,0.0,2
309,40969784035,54.6623716,-46.0926184,6650.32,10631.3,9345.18,2897.53,11179.8,11048.4,-1,1,1,21.4735,0.0,2
310,40969784060,54.7057959,-46.100899,1791.19,2602.49,2357.48,848.064,2666.95,2663.25,-1,1,1,22.9689,0.0,2
311,41021117847,54.6685218,-46.1021139,77.9579,161.744,133.078,19.0983,181.584,173.563,-1,1,1,26.0897,0.0,2
312,40969811845,54.0103374,-46.0934823,23.5911,215.294,69.9808,2.50533,439.204,350.525,-1,1,1,26.7876,0.0,2
313,40969779920,54.7002224,-46.0800916,2522.71,3582.72,3284.45,1232.95,3603.54,3623.48,-1,1,1,22.6088,0.0,2
314,40969776082,54.7192376,-46.0661856,1367.92,3568.08,2722.43,260.532,4255.58,3983.57,-1,1,1,22.8126,0.0,2
315,40555709883,54.6539765,-46.1072928,110961.0,393222.0,273680.0,12965.2,510376.0,461041.0,-1,1,1,17.8069,0.0,2
316,40749426683,54.192509,-46.059132,1174170.0,1755860.0,1580240.0,483555.0,1824230.0,1809490.0,-1,1,1,15.9032,0.0,2
317,40062174657,54.6525308,-46.1067675,406.469,1933.89,1189.04,51.6245,2742.0,2431.16,-1,1,1,23.712,0.0,2
318,41021129452,54.2462039,-46.075875,98.4698,381.341,253.85,13.2416,507.495,458.198,-1,1,1,25.3886,0.0,2
319,41021121232,54.6420443,-46.112593,12001.2,18210.1,16300.3,5343.69,18840.3,18727.9,-1,1,1,20.8695,0.0,2
320,40249367782,54.6540299,-46.0959434,3346340.0,6130630.0,5239910.0,945295.0,6676920.0,6467480.0,-1,1,1,14.6017,0.0,2
321,40969786362,54.651067,-46.1012128,6928.28,13859.2,11502.2,1893.86,15442.8,14816.7,-1,1,1,21.248,0.0,2
322,40969785808,54.6964299,-46.1075901,1289.74,4361.21,3049.97,190.005,5583.5,5102.2,-1,1,1,22.6893,0.0,2
323,40969791221,54.3316533,-46.0635405,34.9522,233.341,108.418,3.77232,393.545,330.619,-1,1,1,26.3123,0.0,2
324,40969791992,54.294271,-46.059745,13035.0,16842.4,15933.6,6471.28,16579.9,16774.5,-1,1,1,20.8942,0.0,2
325,40969805448,54.2144397,-46.105175,93.69,529.479,287.272,11.0444,813.573,701.546,-1,1,1,25.2543,0.0,2
326,40969798062,54.2372707,-46.0763494,5307.27,8219.08,7280.89,2349.3,8619.79,8533.68,-1,1,1,21.7445,0.0,2
327,40969791560,54.4908969,-46.0956664,150.137,703.233,435.288,18.4746,990.537,879.43,-1,1,1,24.8031,0.0,2
328,40749426819,54.3768293,-46.0991144,120.96,2098.51,420.274,15.165,7740.71,4607.68,-1,1,1,24.8412,0.0,2
329,40969784869,54.5289011,-46.0715193,475.625,1438.66,1050.01,72.5609,1783.88,1642.74,-1,1,1,23.847,0.0,2
330,41021118864,54.696431,-46.1119632,9.2726,74.3639,27.6646,1.01591,141.373,115.041,-1,1,1,27.7952,0.0,2
331,40065558896,54.7262465,-46.0590791,49457.5,76588.6,67773.8,22426.9,80421.2,79621.1,-1,1,1,19.3223,0.0,2
332,41021117751,54.5404281,-46.077366,443634.0,725929.0,630510.0,185447.0,776993.0,763511.0,-1,1,1,16.9008,0.0,2
333,40249369292,53.9623696,-46.0967511,403724.0,1094500.0,834660.0,62457.3,1314620.0,1218390.0,-1,1,1,16.5962,0.0,2
334,40969812570,53.9765501,-46.0899159,404.388,2701.06,1254.73,43.627,4556.62,3827.69,-1,1,1,23.6536,0.0,2
335,40749428662,53.9627187,-46.0872898,4401.74,55139.8,12344.3,421.576,133824.0,101507.0,-1,1,1,21.1713,0.0,2
336,41021144839,53.9658502,-46.0933601,336.716,1626.6,995.087,41.9123,2315.63,2049.86,-1,1,1,23.9053,0.0,2
337,40969786694,54.6980268,-46.1115136,46.0222,90.0885,75.1695,13.6406,99.8957,96.0867,-1,1,1,26.7099,0.0,2
338,41021122155,54.4855846,-46.0874143,11.2205,58.3472,34.229,1.41159,87.7434,75.895,-1,1,1,27.564,0.0,2
339,40249367763,54.4746911,-46.0599341,2765650.0,5011440.0,4298010.0,790402.0,5443390.0,5278720.0,-1,1,1,14.8168,0.0,2
340,40969790431,54.4636277,-46.0849157,2437.97,4228.46,3631.52,964.217,4544.42,4446.38,-1,1,1,22.4998,0.0,2
341,40969793797,54.4598981,-46.0995657,22.0808,78.9939,54.3013,3.00078,102.671,93.2772,-1,1,1,27.063,0.0,2
342,40969791443,54.474654,-46.0920458,315319.0,420814.0,393308.0,157569.0,418378.0,422264.0,-1,1,1,17.4132,0.0,2
343,40969809665,53.9615253,-46.0739863,298.819,1184.09,782.495,38.9443,1585.23,1427.93,-1,1,1,24.1663,0.0,2
344,40969792610,54.4576179,-46.0939322,12331.4,16049.2,15148.3,6384.81,15741.8,15974.1,-1,1,1,20.9491,0.0,2
345,40749428499,53.9916976,-46.0873684,30881.8,103194.0,73107.4,3989.6,131634.0,119786.0,-1,1,1,19.2401,0.0,2
346,41021148275,53.988707,-46.11368,652830.0,1020460.0,900211.0,282324.0,1078280.0,1064950.0,-1,1,1,16.5141,0.0,2
347,41021145667,54.0142331,-46.1066363,23858.4,59495.9,46478.0,4241.29,69792.9,65383.2,-1,1,1,19.7319,0.0,2
348,41021143230,54.014617,-46.0951126,30.804,151.267,91.2877,3.88844,219.991,192.793,-1,1,1,26.499,0.0,2
349,41021112747,54.663497,-46.0768872,17309.2,24411.2,22372.3,8465.2,24665.8,24761.2,-1,1,1,20.5257,0.0,2
350,40749428963,53.9943277,-46.1037996,426.476,4546.3,1230.26,42.0407,10079.8,7853.22,-1,1,1,23.675,0.0,2
