ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
3.73982,1.897522,2.660442,3.073494,3.430371,1.239371,0.7441304,1.0
1.585726,1.778036,2.341631,2.761772,3.050068,1.323403,0.8285397,1.0
4.657152,1.613653,2.352427,2.673203,3.79865,1.710081,0.5998936,1.0
2.219999,1.83836,2.473503,2.887419,5.281766,1.676089,0.8801417,1.0
1.873339,0.9888048,1.40879,1.756739,8.533447,3.544,0.4137693,0.6968293
1.808762,1.40008,1.885548,2.204651,3.3799,1.585255,0.4890536,1.0
1.581688,1.506256,2.039087,2.344398,7.715034,2.941589,0.8634071,1.0
2.159567,1.770725,2.374933,2.768478,2.029379,1.035191,0.7577555,0.8845
2.821686,1.278261,2.044323,2.495468,4.105882,1.969546,0.6224569,1.0
3.386446,1.498671,2.022272,2.373135,5.651283,2.775619,0.4615178,0.3687712
0.6223392,0.3874454,0.6366673,0.6493378,1.90137,0.9149245,0.7404549,1.0
1.850384,0.8069868,1.178325,1.464802,6.025688,2.449484,0.4782446,1.0
0.5144043,1.5299,2.301331,2.712578,2.884849,1.205885,0.6321347,0.9030877
2.134844,1.509087,2.103136,2.436995,2.568105,1.306701,0.2762928,0.6883395
2.692059,1.639408,2.359236,2.789288,4.606191,1.887978,0.7570024,1.0
1.819405,1.516914,2.099911,2.41456,3.881929,1.777398,0.8499754,1.0
1.774748,1.689674,2.303375,2.738916,3.259872,1.429009,0.7788209,1.0
3.689178,1.720882,2.49733,2.970106,2.478618,1.399752,0.8031667,0.6928813
2.851055,1.719248,2.377838,2.822788,2.981626,1.227187,0.517531,0.8880617
4.264977,1.607315,2.463404,2.6147,10.71052,4.204828,0.4738201,1.0
2.086357,1.217552,1.712189,2.047812,3.519847,1.45255,0.8351299,1.0
1.301373,0.4983025,0.7947445,0.9436264,3.414131,1.622019,0.9420351,0.5437357
1.51409,0.8048744,1.272537,1.636955,7.828401,3.528329,0.214045,0.0459067
1.957544,1.518908,2.033062,2.337622,4.8861,1.957432,0.7306718,1.0
2.121548,1.690187,2.241127,2.637514,3.558784,1.457795,0.758,1.0
1.970367,0.9203835,1.246166,1.535745,2.244442,1.070708,0.9346678,0.4531842
1.861938,0.9508896,1.355513,1.684227,4.409492,1.956745,0.7931916,1.0
1.444899,0.9176235,1.412916,1.759277,5.794726,2.574039,0.2546124,0.251077
0.2961979,0.9542446,1.658596,1.911583,3.793392,1.683486,0.4499042,0.0
1.762316,0.8485756,1.207012,1.484822,3.45295,1.486959,0.8843688,1.0
0.8305454,1.615389,2.439888,2.904936,3.401791,1.318078,0.1999545,0.0
2.072296,1.80735,2.423254,2.808937,4.88142,2.095399,0.8720754,1.0
4.429308,1.635508,2.259222,2.643513,2.772004,1.242731,0.665112,1.0
1.958529,0.8815098,1.260225,1.514475,2.081518,0.9799566,0.4390327,0.934875
1.765869,0.8260803,1.249493,1.570239,4.23878,2.025638,0.5027554,0.8506029
1.769495,1.070711,1.506126,1.771528,3.644175,1.57002,0.8428393,1.0
1.722221,0.8464317,1.219858,1.468693,3.388862,1.591734,0.5203446,0.4409536
1.68236,0.8269386,1.216872,1.472558,8.286005,3.40626,0.7582434,1.0
1.329426,0.7390594,1.154844,1.4659,5.49072,2.367387,0.1555831,0.1786311
1.35054,1.583244,2.171139,2.501217,2.978456,1.262066,0.8648751,1.0
1.931074,0.8897896,1.295977,1.599504,5.041424,2.058985,0.7092158,1.0
0.6149349,0.01388359,0.1959915,0.1274567,2.228146,1.102299,0.4069779,0.0
1.764637,0.8806858,1.294785,1.608896,4.727134,2.10849,0.3119153,0.5062187
1.416973,0.7236519,1.133057,1.383223,5.188294,2.449003,0.573651,0.4384196
4.201675,1.629467,2.141626,2.455513,2.634097,1.246555,0.8317041,1.0
1.09399,0.3535824,0.5049095,0.5446205,8.849082,4.133057,0.7058268,0.0
1.469013,0.7541237,1.08073,1.33503,5.318557,2.644773,0.7703766,0.0
1.247107,0.6157436,0.9695339,1.230028,4.992004,2.447649,0.7640553,0.0
3.206709,1.673515,2.288223,2.665789,3.462745,1.647004,0.6438404,0.7685705
1.897081,0.9078922,1.310282,1.591326,11.33974,3.682033,0.6301978,1.0
1.408646,0.6437817,1.00773,1.209262,13.43905,5.411841,0.2173011,0.3079499
1.23189,0.5606651,0.9072018,1.113102,6.276244,2.893292,0.339389,0.0
1.86371,0.8692398,1.317629,1.638849,5.020284,2.260052,0.2236907,0.2423351
1.431427,1.566891,2.128839,2.508749,3.333162,1.465318,0.7118794,0.8272741
2.72168,1.892672,2.504803,2.819208,6.681534,2.179841,0.7462453,1.0
2.061283,1.36578,1.835938,2.161268,6.143284,2.619347,0.8588604,1.0
4.055973,1.898188,2.521486,2.896975,2.945518,1.235374,0.5136303,0.9580638
